Character,House Allegiance,Actor/ess,Episodes_appeared,First_appearance,Last_appearance
Tyrion Lannister,Lannister,Peter Dinklage,67,2011,2019
Cersei Lannister,Lannister,Lena Headey,62,2011,2019
Daenerys Targaryen,Targaryen,Emilia Clarke,62,2011,2019
Jon Snow,Nights Watch,Kit Harington,62,2011,2019
Sansa Stark,Stark,Sophie Turner,59,2011,2019
Arya Stark,Stark,Maisie Williams,59,2011,2019
Jaime Lannister,Lannister,Nikolaj Coster-Waldau,55,2011,2019
Jorah Mormont,Targaryen,Iain Glen,52,2011,2019
Samwell Tarly,Nights Watch,John Bradley,48,2011,2019
Theon Greyjoy,Stark,Alfie Allen,47,2011,2019
Lord Varys,Targaryen,Conleth Hill,46,2011,2019
Davos Seaworth,Stark,Liam Cunningham,42,2012,2019
Brienne of Tarth,Stark,Gwendoline Christie,42,2012,2019
Petyr 'Littlefinger' Baelish,Stark,Aidan Gillen,41,2011,2017
Bran Stark,Stark,Isaac Hempstead Wright,40,2011,2019
Sandor 'The Hound' Clegane,Brotherhood,Rory McCann,38,2011,2019
Missandei,Targaryen,Nathalie Emmanuel,38,2013,2019
Bronn,Lannister,Jerome Flynn,37,2011,2019
Podrick Payne,Stark,Daniel Portman,35,2012,2019
Grey Worm,Targaryen,Jacob Anderson,34,2013,2019
Eddison Tollett,Nights Watch,Ben Crompton,34,2012,2019
Tormund Giantsbane,Free Folk,Kristofer Hivju,33,2013,2019
Grand Maester Pycelle,Lannister,Julian Glover,31,2011,2016
Melisandre,Baratheon,Carice van Houten,29,2012,2019
Tywin Lannister,Lannister,Charles Dance,27,2011,2015
Gilly,Free Folk,Hannah Murray,27,2012,2019
Margaery Tyrell,Tyrell,Natalie Dormer,26,2012,2016
Joffrey Baratheon,Baratheon,Jack Gleeson,26,2011,2014
Catelyn Stark,Stark,Michelle Fairley,26,2011,2016
Barristan Selmy,Targaryen,Ian McElhinney,25,2011,2015
Stannis Baratheon,Baratheon,Stephen Dillane,24,2012,2015
Gendry,Baratheon,Joe Dempsie,24,2011,2019
Hodor,Stark,Kristian Nairn,23,2011,2016
Qyburn,Lannister,Anton Lesser,22,2013,2019
Grenn,Nights Watch,Mark Stanley,22,2011,2014
Robb Stark,Stark,Richard Madden,22,2011,2016
Loras Tyrell,Tyrell,Finn Jones,21,2011,2016
Shae,,Sibel Kekilli,20,2011,2014
Ramsay Bolton,Bolton,Iwan Rheon,20,2013,2016
Roose Bolton,Bolton,Michael McElhatton,20,2012,2016
Alliser Thorne,Nights Watch,Owen Teale,19,2011,2016
Daario Naharis,Targaryen,Michiel Huisman,18,2014,2016
Olenna Tyrell,Tyrell,Diana Rigg,18,2013,2017
Tommen Baratheon,Baratheon,Dean-Charles Chapman,18,2013,2016
Ygritte,Free Folk,Rose Leslie,17,2012,2014
Jaqen H'ghar,Faceless Men,Tom Wlaschiha,17,2012,2016
Gregor 'The Mountain' Clegane,Lannister,Hafþór Júlíus Björnsson,17,2014,2019
Olly,Nights Watch,Brenock O'Connor,17,2014,2016
Meryn Trant,Kingsguard,Ian Beattie,17,2011,2015
Osha,Free Folk,Natalia Tena,16,2011,2016
Yara Greyjoy,Greyjoy,Gemma Whelan,16,2012,2019
Meera Reed,Stark,Ellie Kendrick,16,2013,2017
Wun Wun,Free Folk,Ian Whyte,16,2011,2019
Lancel Lannister,Sparrows,Eugene Simon,16,2011,2016
Janos Slynt,Nights Watch,Dominic Carter,15,2011,2015
Maester Luwin,Stark,Donald Sumpter,14,2011,2012
Ros,,Esmé Bianco,14,2011,2013
Rickon Stark,Stark,Art Parkinson,14,2011,2016
Othell Yarwyck,Nights Watch,Brian Fortune,14,2011,2016
Ellaria Sand,Martell,Indira Varma,13,2014,2017
Rodrik Cassel,Stark,Ron Donachie,13,2011,2012
Beric Dondarrion,Brotherhood,Richard Dormer,13,2013,2019
Mace Tyrell,Tyrell,Roger Ashton-Griffiths,13,2014,2016
Yohn Royce,Arryn,Rupert Vansittart,13,2014,2019
Pypar,Nights Watch,Josef Altin,13,2011,2014
Irri,Dothraki,Amrita Acharia,13,2011,2012
High Sparrow,Sparrows,Jonathan Pryce,12,2015,2016
Jeor Mormont,Nights Watch,James Cosmo,12,2011,2013
Maester Wolkan,Stark,Richard Rycroft,12,2016,2019
Kevan Lannister,Lannister,Ian Gelder,12,2011,2016
Rast,Nights Watch,Luke Barnes,12,2011,2014
Hot Pie,,Ben Hawkey,12,2011,2017
Talisa Stark,Stark,Oona Chaplin,11,2012,2013
Maester Aemon,Nights Watch,Peter Vaughan,11,2011,2015
The Waif,Faceless Men,Faye Marsay,11,2015,2016
Doreah,Dothraki,Roxanne McKee,11,2011,2012
Qhono,Targaryen,Staz Nair,11,2016,2019
Eddard 'Ned' Stark,Stark,Sean Bean,10,2011,2011
Thoros of Myr,Brotherhood,Paul Kaye,10,2013,2017
Selyse Baratheon,Baratheon,Tara Fitzgerald,10,2013,2015
Jojen Reed,Stark,Thomas Brodie-Sangster,10,2013,2014
Shireen Baratheon,Baratheon,Kerry Ingram,10,2013,2015
Bowen Marsh,Nights Watch,Michael Condron,10,2015,2016
Khal Drogo,Dothraki,Jason Momoa,10,2011,2012
Euron Greyjoy,Greyjoy,Pilou Asbæk,9,2016,2019
Edmure Tully,Tully,Tobias Menzies,9,2013,2019
Tyene Sand,Martell,Rosabell Laurenti Sellers,9,2015,2017
Lyanna Mormont,Stark,Bella Ramsey,9,2016,2019
Robin Arryn,Arryn,Lino Facioli,9,2011,2019
Renly Baratheon,Baratheon,Gethin Anthony,8,2011,2012
Locke,Nights Watch,Noah Taylor,8,2013,2014
Obara Sand,Martell,Keisha Castle-Hughes,8,2015,2017
Hizdahr zo Loraq,Targaryen,Joel Fry,8,2014,2015
Nymeria Sand,Martell,Jessica Henwick,8,2015,2017
Septa Unella,Sparrows,Hannah Waddingham,8,2015,2016
Myranda,Bolton,Charlotte Hope,8,2013,2016
Kovarro,Dothraki,Steven Cole,8,2012,2012
Tommen Baratheon,Baratheon,Callum Wharry,8,2011,2012
Myrcella Baratheon,Baratheon,Aimee Richardson,8,2011,2012
Robert,Baratheon,Mark Addy,7,2011,2011
